Record Length,Analog:10000,
Sample Interval,Analog:5.000000E-04,
Vertical Units,CH1:V, CH2:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+1.600000E+02, CH2:+1.000000E+02, CH3:+1.000000E+02, CH4:+1.600000E+02,,
Vertical Offset,CH1:+0.000000E+00, CH2:-2.368333E+03, CH3:+0.000000E+00, CH4:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+05,
Model Number,SDS2104X Plus,
Serial Number,SDS2PDDQ6R1916,
Software Version,5.0.1.3.9R12,
Source,CH1,CH2,CH3,CH4
Second,Value,Value,Value,Value
-2.3920000000E+00,+6.133334E+01,+2.402500E+03,+2.383333E+02,-4.160000E+02
-2.3915000000E+00,+6.133334E+01,+2.395833E+03,+2.383333E+02,-4.186667E+02
-2.3910000000E+00,+6.133334E+01,+2.423333E+03,+2.383333E+02,-4.186667E+02
-2.3905000000E+00,+6.266667E+01,+2.420000E+03,+2.383333E+02,-4.186667E+02
-2.3900000000E+00,+6.000000E+01,+2.388333E+03,+2.383333E+02,-4.133334E+02
-2.3895000000E+00,+5.866667E+01,+2.413333E+03,+2.383333E+02,-4.160000E+02
-2.3890000000E+00,+6.133334E+01,+2.370833E+03,+2.383333E+02,-4.146667E+02
-2.3885000000E+00,+6.133334E+01,+2.419167E+03,+2.383333E+02,-4.133334E+02
-2.3880000000E+00,+6.000000E+01,+2.411667E+03,+2.383333E+02,-4.160000E+02
-2.3875000000E+00,+5.733334E+01,+2.400000E+03,+2.383333E+02,-4.173334E+02
-2.3870000000E+00,+5.600000E+01,+2.424167E+03,+2.383333E+02,-4.213333E+02
-2.3865000000E+00,+5.600000E+01,+2.455000E+03,+2.383333E+02,-4.213333E+02
-2.3860000000E+00,+5.600000E+01,+2.339167E+03,+2.383333E+02,-4.240000E+02
-2.3855000000E+00,+5.866667E+01,+2.434167E+03,+2.383333E+02,-4.226667E+02
-2.3850000000E+00,+9.333334E+01,+2.791667E+03,+2.475000E+02,-3.866667E+02
-2.3845000000E+00,+5.600000E+01,+2.419167E+03,+2.375000E+02,-4.266667E+02
-2.3840000000E+00,+6.133334E+01,+2.440000E+03,+2.383333E+02,-4.213333E+02
-2.3835000000E+00,+6.133334E+01,+2.423333E+03,+2.383333E+02,-4.240000E+02
-2.3830000000E+00,+6.400001E+01,+2.407500E+03,+2.383333E+02,-4.240000E+02
-2.3825000000E+00,+6.133334E+01,+2.384167E+03,+2.383333E+02,-4.240000E+02
-2.3820000000E+00,+6.266667E+01,+2.418333E+03,+2.383333E+02,-4.213333E+02
-2.3815000000E+00,+6.400001E+01,+2.425000E+03,+2.383333E+02,-4.186667E+02
-2.3810000000E+00,+6.666667E+01,+2.435833E+03,+2.383333E+02,-4.186667E+02
-2.3805000000E+00,+6.400001E+01,+2.406667E+03,+2.383333E+02,-4.173334E+02
-2.3800000000E+00,+6.133334E+01,+2.405000E+03,+2.383333E+02,-4.186667E+02
-2.3795000000E+00,+5.333334E+01,+2.368333E+03,+2.358333E+02,-4.240000E+02
-2.3790000000E+00,+6.133334E+01,+2.401667E+03,+2.383333E+02,-4.186667E+02
-2.3785000000E+00,+6.133334E+01,+2.399167E+03,+2.383333E+02,-4.186667E+02
-2.3780000000E+00,+6.133334E+01,+2.404167E+03,+2.383333E+02,-4.186667E+02
-2.3775000000E+00,+6.133334E+01,+2.391667E+03,+2.383333E+02,-4.146667E+02
-2.3770000000E+00,+6.133334E+01,+2.426667E+03,+2.383333E+02,-4.133334E+02
-2.3765000000E+00,+6.000000E+01,+2.428333E+03,+2.383333E+02,-4.173334E+02
-2.3760000000E+00,+5.866667E+01,+2.395000E+03,+2.383333E+02,-4.186667E+02
-2.3755000000E+00,+5.866667E+01,+2.434167E+03,+2.383333E+02,-4.186667E+02
-2.3750000000E+00,+6.000000E+01,+2.403333E+03,+2.383333E+02,-4.213333E+02
-2.3745000000E+00,+5.600000E+01,+2.405000E+03,+2.383333E+02,-4.240000E+02
-2.3740000000E+00,+5.866667E+01,+2.408333E+03,+2.383333E+02,-4.186667E+02
-2.3735000000E+00,+6.933334E+01,+2.575833E+03,+2.400000E+02,-4.106667E+02
-2.3730000000E+00,+6.133334E+01,+2.420833E+03,+2.383333E+02,-4.213333E+02
